id,fname,lname,hand,dob,country,height
216684,Heidi,Rosenbaum,,5/7/1964,USA,
216685,Monica,Kowalewski,,9/9/1965,CAN,
216686,Jacqueline,Geller,,3/29/1962,USA,
216687,Sheri,Yandle,,6/29/1969,USA,
216688,Diane,Mckeon,,1/21/1971,USA,
216689,Angela,Farley Wilson,,12/11/1964,USA,
216690,Nancy,Killingsworth,,,USA,
216691,Keiko,Hayashi,,,JPN,
216692,Liz,Wachter,,4/23/1964,USA,
216693,Jamie,Pisarcik,,5/30/1963,USA,
216694,Liza,Riefkohl,,11/12/1963,MEX,
216695,Stephanie,Meier,,,FRG,
216696,Karen,Hueffman,,,FRG,
216697,Sharon,Russell,,4/20/1976,BAH,
216698,,Mckinney,,,USA,
216699,Ann,Gorneva Krulevitz,,,ISR,
216700,,Munsell,,,HKG,
216701,Laura,Hudson,,12/10/1968,USA,
216702,Debora,Garat,,6/27/1971,ARG,
216703,Karin,Hinterwirth,,5/14/1963,AUT,
216704,Michaela,Masur,,,AUT,
216705,Jill,Patterson,,,USA,
216706,Courtney,Lord,,6/22/1956,USA,
216707,Michelle,Oldham,,4/2/1972,GBR,
216709,Kristen,Stubbs,,5/1/1981,USA,
216710,Karina,Rinaldi,,6/5/1978,ARG,
216711,Marisa,Georgitsi,,5/29/1974,GRE,
216712,Wendy,Nelson,,10/1/1968,USA,
216713,Elana,Clark,,2/16/1973,AUS,
216714,Sheila,Ohlsson,,,USA,
216715,Audrey,Ludwig,,1/16/1976,FRA,
216716,Rachel,King,,1/31/1971,AUS,
216717,Heidi,Allsmiller,,10/7/1960,USA,
216718,Julie,Walther,,5/23/1961,USA,
216719,Andrea,Piski,,7/5/1977,HUN,
216720,Aura,Gheorge,,,FRG,
216721,Julia,Mertins,,12/9/1974,GER,
216722,Alexandra,Schneider,,4/29/1976,GER,
216723,Ainhoa,Torrens,,4/3/1972,ESP,
216724,Maria Carmen,Leon,,9/12/1974,ESP,
216725,Simone,Eberlein,,10/13/1971,GER,
216726,Deborah,Edelman,,11/29/1970,USA,
216727,Jane,Harper,,8/14/1972,GBR,
216728,Dewi,Wijayanthi,,9/29/1975,INA,
216729,Altie,Barnard,,1/2/1974,NAM,
216730,Juliana,Gorka,,11/7/1971,GER,
216731,Barbel,Wohlfahrt,,,GER,
216732,Jennifer,Rothschild,,,USA,
216733,Naoko,Matsuki,,2/22/1958,JPN,
216734,Akiko,Ueda,,,JPN,
216735,Cindy,Davis,,12/7/1959,USA,
216736,Ellen,Drieberger,,,NED,
216737,Lynne,Abbes,,6/21/1949,USA,
216738,Federica,Lentini,,9/8/1969,ITA,
216739,Maria Antonietta,Trupia,,4/19/1966,ITA,
216740,I,Norman,,,USA,
216741,Lisa,Wilcox,,8/8/1960,USA,
216742,Alexandra,Boutellier,,,FRA,
216743,Simone,Hermann,,1/30/1971,GER,
216744,Jill,Hamilton,,9/7/1954,USA,
216746,Aschara,Moranon,,,USA,
216747,Heidi,Djanogly,,7/13/1972,USA,
216748,Julie,Mckeon,,6/9/1971,USA,
216749,Camille,Baldrich,,2/11/1973,PUR,
216750,,Yoivera,,,USA,
216751,Diana,Foldenyi,,8/18/1976,HUN,
216752,Malgorzata,Jankowska,,6/27/1976,POL,
216753,Martina,Reinhardt,,5/25/1965,GER,
216754,G,Read,,,USA,
216755,Roberta,Caldas,,5/17/1969,BRA,
216756,Ana,Carotini,,5/20/1971,BRA,
216757,Marcia,Paganini,,10/26/1973,BRA,
216758,Stephanie,Givens,,10/10/1966,USA,
216760,Laura,Liong,,8/10/1968,SGP,
216762,Amalia,Mitropoulou,,11/11/1971,GRE,
216763,Irina,Stoilova,,3/25/1973,BUL,
216764,Plamena,Gogovska,,11/11/1972,BUL,
216765,Asa,Flodin,,2/16/1963,SWE,
216766,Ann,Ehrmann,,1/9/1966,FRA,
216767,Mi Jeong,Lee,,3/6/1968,KOR,
216768,Kiki,Reuter,,,GER,
216769,Lucy,Fendig,,4/2/1954,USA,
216770,Cathy,Canuti,,,USA,
216771,Nicole,Stafford,,,USA,
216772,Emmy,Ho,,,USA,
216773,,Gratton,,,USA,
216774,Claudette,Laliberte,,,USA,
216775,Maria Eliana,Castro,,6/21/1977,PER,
216776,Grazia,Greco,,7/18/1968,ITA,
216777,Daniela,Russino,,,ITA,
216778,Marine,Jacquet,,,FRA,
216779,Petra,Studnicka,,9/14/1975,GER,
216780,Lee Ann,Van Den Berg,,4/8/1974,NED,
216781,Ting,Wang,,,CHN,
216782,Lisa,Barg,,,USA,
216783,Lynn,Lewis,,11/14/1963,USA,
216784,Chisa,Packard,,,JPN,
216785,Masako,Nishina,,3/11/1965,JPN,
216786,Pamela,Buehler,,8/7/1971,LIE,
216787,Lindsay,Lee,,,USA,
216788,Lisa,Sassano,,2/18/1963,USA,
216789,Virginia,Brown,,,USA,
216790,Lloyd,Hatcher,,12/8/1945,USA,
216791,Suzanne,Olson,,6/12/1975,USA,
216792,Caren,Schindler,,11/10/1961,USA,
216793,Allegra,Milholland,,1/13/1972,USA,
216794,Anne Sophie,Bruner,,,NZL,
216795,Anje,Lauber,,,GER,
216796,Molly,Mcgrath,,2/15/1963,USA,
216797,Lori,Robertson,,1/12/1960,USA,
216798,Federica,Balzani,,7/12/1985,ITA,
216799,M,Mcgrath,,,AUS,
216800,Lisa,Mackey,,8/30/1979,AUS,
216801,Magalie,Gaillot,,1/17/1980,FRA,
216802,Virginie,Rabeau,,3/27/1983,FRA,
216803,Sylvie,Baccarani,,11/23/1968,FRA,
216804,Nina,Miu,,9/2/1976,ROU,
216805,Zuzana,Prusova,,7/13/1979,CZE,
216806,Szilvia,Kelemen,,3/2/1980,HUN,
216807,Caroline,Gideskog,,1/8/1975,SWE,
216808,Henriette,Gemer,,12/6/1968,VEN,
216809,Cristina,Wallis,,2/5/1964,VEN,
216810,Michelle,Beadman,,12/10/1969,AUS,
216811,Simone,Bock,,12/18/1974,GER,
216812,Lindsay,Bruce,,4/17/1978,USA,
216813,Janice,Tilbrook,,2/25/1972,RSA,
216814,Monique,Fitters,,10/21/1975,NED,
216815,Aranka,Huyberts,,9/7/1972,NED,
216816,Pascal,Engel,,6/16/1970,NED,
216817,Nicole,Simon,,2/12/1967,NED,
216818,Stephanie,Sheppard,,4/19/1978,IRL,
216819,Jenny,Timoney,,3/7/1981,IRL,
216820,Alison,Reid,,5/8/1972,GBR,
216821,Fiona,Reid,,1/4/1971,GBR,
216822,Sonia,Vickers,,2/16/1981,GBR,
216823,Lee,Whitwell,,12/22/1974,GBR,
216824,Anne,Jamers,,12/5/1979,BEL,
216825,Lisa,Poole,,4/10/1973,AUS,
216826,Maria Claudia,Alves,,8/9/1980,BRA,
216827,Andressa,Bornschein,,6/11/1977,BRA,
216828,Ayumi,Ichikawa,,1/18/1984,JPN,
216829,Rieka,Ito,,9/8/1976,JPN,
216830,Hanako,Kamiya,,2/1/1976,JPN,
216831,Isabel,Dominguez Munaiz,,9/22/1978,ESP,
216832,Paola,Voli,,8/5/1968,ITA,
216833,Adrienne,Green,,9/3/1968,USA,
216834,Quynh,Le,,6/27/1971,USA,
216835,Kari,Olsen,,1/20/1981,USA,
216836,Augustina,Wibisono,,8/11/1968,INA,
216837,Lisa,Moldrem,,2/12/1959,USA,
216838,Christa,Grey,,1/15/1979,USA,
216839,Meritxell,Balbas,,3/19/1982,AND,
216840,Aitana,Minambres,,7/10/1981,ESP,
216841,Beatriz,Miravete,,4/4/1975,ESP,
216842,Cinta,Princep,,9/6/1979,ESP,
216843,Sonia,Colomina,,8/4/1979,ESP,
216844,Vicky,Lee,,7/1/1980,AUS,
216845,Marion,Leuillier,,3/30/1984,FRA,
216846,Kelly,Brown,,5/5/1977,USA,
216847,Massoumeh,Emami,,8/3/1977,USA,
216848,Hana,Debevec,,6/3/1982,SLO,
216849,Tjasa,Suvak,,7/8/1981,SLO,
216850,Louise,Bysiek,,1/19/1950,USA,
216851,Jayne,Demichele,,10/6/1974,USA,
216852,Petra,Kostelnikova,,10/30/1983,CZE,
216853,Vera,Kostelnikova,,4/3/1982,CZE,
216854,Christine,Moroe,,,USA,
216855,Alix,La Celarie,,5/11/1980,FRA,
216856,Carolina,Melicoff,,9/26/1977,MEX,
216857,Kyung Yee,Chang,,,KOR,
216858,Lakschmi,Van Der Wart,,12/12/1984,NED,
216859,Aiko,Matsuda,,2/20/1975,JPN,
216860,Marina,Gojkovic,,9/19/1979,YUG,
216861,Ivana,Ratkovic,,8/28/1970,YUG,
216862,Silvia,Cribellati,,2/3/1982,ITA,
216863,Katerina,Zupancic,,5/13/1981,SLO,
216864,Rosa Maria,Peso Aldaz,,6/8/1970,ESP,
216865,Maria Jose,Dronda Prados,,1/3/1984,ESP,
216866,Esther,Hijosa Basarte,,9/3/1983,ESP,
216867,Marta,Insausti,,4/4/1981,ESP,
216868,Cristina,Sanz Aguirre,,7/10/1973,ESP,
216869,Edurne,Tabernero,,8/1/1978,ESP,
216870,Leire,Etayo,,7/9/1983,ESP,
216871,Elena,Luri,,12/4/1984,ESP,
216872,Martina,Janska,,2/12/1981,CZE,
216873,Leslie,Thile,,12/12/1979,FRA,
216874,Emilie,Vanhuysberghe,,3/6/1981,FRA,
216875,Petra,Halastova,,3/25/1982,CZE,
216876,Jana,Staskova,,1/10/1978,CZE,
216877,Monika,Vinterova,,1/10/1979,SVK,
216878,Stefanie,Halder,,1/29/1985,GER,
216879,Sivan,Paz,,6/29/1982,ISR,
216880,Noemi,Minzberg,,,ISR,
216881,Ruth,Sverdloff,,8/18/1965,ISR,
216882,Martine,Belle,,3/20/1985,ITA,
216883,Ziva,Grasic,,1/23/1981,SLO,
216884,Anne,Larsen,,3/15/1971,DEN,
216885,Miki,Miyauchi,,12/13/1973,JPN,
216886,Rieko,Noda,,4/21/1975,JPN,
216887,Kim,Kelly,,3/29/1978,USA,
216888,Lani,Wilcox,,8/8/1960,USA,
216889,Julie,Coles,,4/25/1969,USA,
216890,Ruth Ann,Escobedo,,5/6/1970,USA,
216891,Soon Hye,Lee,,8/12/1976,KOR,
216892,Anna,Mitina,,4/12/1980,RUS,
216893,Lauren,Stephens,,4/23/1983,USA,
216894,Mei Hua,Hsu,,5/27/1979,TPE,
216895,Chia Hui,Feng,,4/27/1979,TPE,
216896,Hong Hui,Liu,,6/24/1978,TPE,
216897,Jung Hua,Kuo,,12/20/1977,TPE,
216898,Ya Chi,Yang,,9/6/1978,TPE,
216899,Tatiana,Semenova,,12/17/1979,KGZ,
216900,Liora,Levin,,9/29/1976,ISR,
216901,Anna,Markovich,,9/8/1982,UKR,
216902,Vivien,Sepuka,,4/13/1985,CRO,
216903,Miriam,Sommer,,5/13/1984,GER,
216904,Deborah,Hill,,11/15/1982,CAN,
216905,Andre,Polasek,,2/14/1983,CAN,
216906,Jessica,Tribula,,7/31/1979,GER,
216907,Maricela,Morales,,12/18/1965,MEX,
216908,Gabriela,Villanueva,,5/19/1974,ESP,
216909,Mariska,Steenkamp,,3/26/1976,RSA,
216910,Magali,Risoleo,,2/13/1982,ARG,
216911,Maria Elena,Jimenez,,8/11/1977,ARG,
216912,Carolina,Conte,,11/20/1973,ARG,
216913,Maria Virginia,Moreno Heredia,,11/24/1979,ESP,
216914,Cintia,Seaton,,6/6/1977,ARG,
216915,Noelia,Leon,,2/27/1984,ARG,
216916,Estefania,Rolon,,11/25/1982,ARG,
216917,Tasha,Jackson,,2/23/1976,USA,
216918,Denise,Vock,,12/6/1981,AUT,
216919,Agnes,Paischer,,1/13/1985,AUT,
216920,Marlene,Dirnstorfer,,5/27/1981,AUT,
216921,Martina,Nedorostova,,12/14/1979,SVK,
216922,Karina,Koche,,12/26/1983,FRA,
216923,Ellen,Delie,,3/20/1980,BEL,
216924,Freekje,Maas,,5/4/1977,NED,
216925,Mireille,Bink,,3/4/1976,NED,
216926,Victoria,Cservenyak,,5/25/1982,HUN,
216927,Mariana,Petrasova,,3/9/1981,SVK,
216928,Stephanie,Serruys,,5/18/1982,BEL,
216929,Valeria,Galouza,,7/17/1985,NED,
216930,Ilona,Somers,,6/22/1983,NED,
216931,Isabelle,Declercq,,11/27/1982,BEL,
216932,Pascale,Veraverbeke,,10/19/1982,BEL,
216933,Evelien,Bostyn,,5/6/1981,BEL,
216934,Janja,Gersic,,3/7/1985,CRO,
216935,Katerina,Hladka,,10/31/1977,CZE,
216936,Tatjana,Nossik,,8/13/1983,BLR,
216937,Joanna,Furdyna,,8/14/1982,POL,
216938,Natalia,Narenko,,2/25/1973,BLR,
216939,Dominique,Glinzler,,9/27/1977,RSA,
216940,Carolina,Uriarte,,8/9/1980,BRA,
216941,Liliana,Hung,,3/31/1983,BRA,
216942,Paula,Oliveira,,12/5/1981,BRA,
216943,Roberta,Frizzo,,2/11/1983,BRA,
216944,Adriana,Florido,,1/10/1964,BRA,
216945,Patricia,Camina,,9/28/1976,ARG,
216946,Fernanda,Vlasak,,6/14/1981,BRA,
216947,Natalia,Testa,,9/18/1980,URU,
216948,Ana Luiza,Alencar,,7/23/1967,BRA,
216949,Silvia,Ludorf,,6/16/1966,BRA,
216950,Fernanda,Sala,,8/22/1980,BRA,
216951,Maria Gabriela,Giacomin,,2/20/1980,BRA,
216952,Ekaterina,Makarenko,,10/24/1981,UKR,
216953,Oksana,Enik,,3/18/1977,UKR,
216954,Maria,Tasheva,,6/16/1979,BUL,
216955,Andrea,Rose,,2/13/1980,CAN,
216956,Jacquie,Dobson,,9/26/1961,CAN,
216957,Collette,Oreilly,,3/28/1964,CAN,
216958,Skywalkie,Raimrova,,,CZE,
216959,Karen,Gebauer,,4/22/1976,CHI,
216960,Mariela,Marinaro,,8/9/1975,ARG,
216961,Natalia,Pellegrini,,4/18/1978,ARG,
216962,Barbara,Brauchle,,8/1/1980,CHI,
216963,Daniela,Canepa,,3/24/1981,ARG,
216964,Xin Fen,Pu,,10/5/1959,CHN,
216965,Ana,Radak Trampetic,,1/7/1982,CRO,
216967,Lore,De Lille,,6/22/1983,BEL,
216968,Ciska,Kramer,,4/20/1977,NED,
216969,Irina,Zhdanova,,4/28/1978,RUS,
216970,Ines,Trickovic,,5/18/1982,CRO,
216971,Agnes,Buronyi,,3/28/1982,HUN,
216972,Ana,Katanic,,4/25/1979,SLO,
216973,Sabine,Herdegen,,1/29/1982,GER,
216974,Carolina,Sadaj,,2/9/1982,GER,
216975,Maria,Ilieva,,8/8/1981,BUL,
216976,Martina,Matouskova,,5/7/1984,CZE,
216977,Ellen,Svensson,,1/7/1982,SWE,
216978,Svatava,Prorokova,,5/23/1981,CZE,
216979,Brankica,Stankovic,,11/18/1978,AUT,
216980,Kristina,Dundov,,2/6/1983,CRO,
216981,Dagmar,Denkova,,3/5/1982,CZE,
216982,Simona,Krausova,,2/15/1980,CZE,
216983,Lucie,Telinova,,9/11/1985,CZE,
216984,Tereza,Sandova,,3/4/1984,CZE,
216985,Lucie,Ruskova,,9/6/1982,CZE,
216986,Jana,Benova,,5/24/1978,CZE,
216987,Petra,Hradecka,,6/19/1975,CZE,
216988,Dita,Kochloffelova,,5/13/1979,CZE,
216989,Petra,Sedlmajerova,,3/31/1981,CZE,
216990,Daniela,Hebertova,,3/15/1983,CZE,
216991,Alexandra,Mikhailova,,7/14/1984,RUS,
216992,Marta,Kostrhounova,,6/24/1980,CZE,
216993,Marketa,Cizova,,12/31/1980,CZE,
216994,Katerina,Zlebkova,,5/21/1980,CZE,
216995,Michaela,Havelkova,,5/21/1980,CZE,
216996,Kristina,Pesatova,,10/12/1981,CZE,
216997,Pavia,Schnattingerova,,10/18/1983,CZE,
216998,Jana,Bourova,,2/11/1978,CZE,
216999,Lucie,Mazinova,,2/5/1982,CZE,
217000,Sylvie,Bohmova,,1/12/1982,CZE,
217001,Marketa,Blazkova,,5/26/1980,CZE,
217002,Louise,Lilleso,,9/29/1979,DEN,
217003,Annette,Tronning,,1/16/1981,DEN,
217004,Christine,Pape Nielsen,,7/2/1982,DEN,
217005,Marja Liisa,Kuurne,,5/1/1972,FIN,
217006,Ditte,Hougaard,,2/7/1977,DEN,
217007,Akemi,Sato,,12/28/1975,JPN,
217008,Verena,Cerny,,2/2/1980,AUT,
217009,Marina,Garcia Vertiz,,1/30/1986,ESP,
217010,Linda,Engblom,,5/27/1975,SWE,
217011,Saray,Pino Vega,,7/25/1984,ESP,
217012,Eva,Escribano Poveda,,1/4/1980,ESP,
217013,Sandra,Jillyova,,2/7/1983,SVK,
217014,Dacil,Alvarado,,3/3/1982,ESP,
217015,Ninja,Pfuetzenreuter,,3/7/1984,GER,
217016,Tamara,Mol,,9/11/1979,NED,
217017,Barbora,Stejskalova,,9/19/1980,CZE,
217018,Jutta,Ribitsch,,1/1/1976,AUT,
217019,Irene,Fernandez Cabe,,1/10/1979,ESP,
217020,Olga,Carrasco,,4/8/1985,ESP,
217021,Rocio,Govantes,,2/11/1984,ESP,
217022,Maria Isabella,Ariza Sanz,,2/24/1983,ESP,
217023,Sara,Bonomi,,5/7/1978,ITA,
217024,Katarina,Balan,,4/18/1979,YUG,
217025,Carolina,Rojas Jimenez,,6/11/1979,ESP,
217026,Jenny,Trettin,,6/8/1980,GER,
217027,Sandra,De Rafael Esteban,,6/25/1971,ESP,
217028,Eva,Sanz,,7/21/1980,ESP,
217029,Anete,Rozkalne,,2/13/1983,LAT,
217030,Rosario,Gracia Abad,,3/17/1972,ESP,
217031,Isabel,Fonts,,2/1/1980,ESP,
217032,Virginia,Colmenero,,1/22/1979,ESP,
217033,Anna,Macia,,5/9/1979,ESP,
217034,Maria Carmen,Escuder,,1/3/1980,ESP,
217035,Ariadna,Junyent,,3/19/1981,ESP,
217036,Susana,Carreras,,1/8/1978,ESP,
217037,Magdalena,Taltavull Fernandez,,12/5/1978,ESP,
217038,Beatriz,Pellon,,9/15/1960,ESP,
217039,Marta,Rozas,,,ESP,
217040,Jessica,Ortiz Diaz Oliver,,2/16/1982,ESP,
217041,Violeta,Fabe Martin,,10/27/1982,ESP,
217042,Carmen,Torres,,5/11/1983,ESP,
217043,Monica,Jimenez,,,ESP,
217044,Patricia,Garcia,,4/16/1980,ESP,
217045,Carolina,Somalo,,5/23/1974,ESP,
217046,Monica,Chornet Velasco,,10/14/1975,ESP,
217047,Monica,Peets,,3/31/1981,EST,
217048,Sandra,Mihajlovic,,7/24/1980,GER,
217049,Kadi,Hilpus,,10/9/1978,EST,
217050,Riina,Veiram,,7/17/1981,EST,
217051,Johanna,Isokangas,,3/15/1979,FIN,
217052,Elena,Bouloux,,8/20/1980,FRA,
217053,Kealy,Carter,,10/30/1980,USA,
217054,Raluca,Moldovan,,7/21/1983,ROU,
217055,Virginie,Favory,,5/14/1980,FRA,
217056,Virginie,Van Der Meersch,,2/2/1975,FRA,
217057,Nathalie,Leschi,,6/19/1972,FRA,
217058,Claire,Bourgault,,10/28/1980,FRA,
217059,Frederique,Mauger,,8/25/1964,FRA,
217060,Aurore,Esteve,,8/9/1980,FRA,
217061,Amanda,Peros,,1/26/1979,FRA,
217062,Nowlenn,Peltier,,,FRA,
217063,Anne,Walrick,,,FRA,
217064,Davina,Mendiburu,,9/25/1982,FRA,
217065,Typhaine,Cottenier,,5/21/1978,FRA,
217066,Agnes,Lempereur,,1/11/1967,FRA,
217067,Victoria,Hall,,9/30/1980,GBR,
217068,Gillian,Smith,,8/23/1971,GBR,
217069,Tracy,Smith,,8/23/1971,GBR,
217070,Elizabeth,Fletcher,,9/21/1977,GBR,
217071,Joanne,Keene,,3/13/1980,GBR,
217072,Andrea,Behalova,,3/26/1976,CZE,
217073,Annabel,Kelynack,,3/23/1981,GBR,
217074,Laura,Smith,,8/20/1978,GBR,
217075,Majen,Immink,,2/23/1984,GBR,
217076,Alex,Napier,,12/11/1976,GBR,
217077,Rachel,Magory,,6/9/1983,GBR,
217078,Leonie,Odriscoll,,4/10/1978,AUS,
217079,Manana,Dueli,,12/6/1980,GEO,
217080,Eka,Vepkhvadze,,8/20/1982,GEO,
217081,Ketino,Akhvlediani,,6/25/1983,GEO,
217082,Carmen,Linder,,4/10/1980,GER,
217083,Maike,Kampschulte,,9/16/1982,GER,
217084,Liz,Finlayson,,9/21/1965,NZL,
217085,Nicola,Seltenbecher,,1/5/1980,GER,
217086,Ina Maria,Range,,3/21/1981,GER,
217087,Stephanie,Koderisch,,3/2/1978,GER,
217088,Carmen,Maas,,5/22/1980,GER,
217089,Ellen,Muller,,3/28/1976,GER,
217090,Alison,Moverley,,6/13/1973,GBR,
217091,Rebecca,Leftherioti,,8/30/1979,GRE,
217092,Tali,Fink,,10/25/1979,ISR,
217093,Anna,Ioannou,,6/20/1983,GRE,
217094,Elena,Kokkinaki,,11/16/1983,GRE,
217095,Magdolna,Rekasi,,5/22/1983,HUN,
217096,Edit,Bagoly,,9/5/1982,HUN,
217097,Rita,Horvath,,5/14/1979,HUN,
217098,Nuraeni,Batubara,,8/19/1981,INA,
217099,Kartika,Halim,,6/14/1985,INA,
217100,Evi,Murtiningsih,,10/8/1978,INA,
217101,Diana Nur,Fatimah,,4/4/1984,INA,
217102,Cintha Karrie Shanaz,Putri,,6/19/1985,INA,
217103,Lorena,Aparicio Vargas,,2/28/1983,ESP,
217104,Yuka,Hatano,,8/15/1983,JPN,
217105,Sadvika,Saboo,,3/17/1985,IND,
217106,Rakha,Mohan,,10/14/1982,IND,
217107,Sonja,Foks,,8/20/1978,NED,
217108,Katrin,Gaber,,3/16/1980,AUT,
217109,Bracha,Weisman,,3/3/1986,ISR,
217110,Barbara,Fuzesi,,7/22/1977,ITA,
217111,Szandra,Fuzesi,,12/24/1978,HUN,
217112,Noa,Horovitz,,4/7/1976,ISR,
217113,Virginia,Prato,,12/17/1980,ITA,
217114,Cristina,Coletto,,1/21/1980,ITA,
217115,Emanuela,Falleti,,12/2/1975,ITA,
217116,Francesca,Guastella,,4/9/1979,ITA,
217117,Katia,Ceracchi,,3/15/1981,ITA,
217118,Mariapia,Quagliozzi,,6/23/1984,ITA,
217119,Anna Sabrina,Ferrari,,5/30/1977,ITA,
217120,Magdalena,Wojcik,,9/30/1979,GER,
217121,Susan,Durst,,1/25/1981,GER,
217122,Amanda,Gesualdi,,2/4/1970,ITA,
217123,Tatjana,Scheel,,3/10/1981,GER,
217124,Michela,Comune,,3/19/1983,ITA,
217125,Serena,Carsughi,,3/8/1981,ITA,
217126,Esther,Stasi,,5/7/1980,ITA,
217127,Giulia,De Muro,,4/3/1978,ITA,
217128,Marie Lisa,Loriga,,3/29/1983,ITA,
217129,Lucia,Curielli,,1/8/1978,ITA,
217130,Chiara,Lucacchioni,,8/24/1981,ITA,
217131,Daniela,Santamato,,8/30/1981,ITA,
217132,Valentina,Terio,,2/27/1976,ITA,
217133,Roberta,Zandarin,,4/17/1976,ITA,
217134,Silvia,Gabba,,12/21/1982,ITA,
217135,Simona,Patti,,8/23/1985,ITA,
217136,Francesca,Lancini,,7/8/1983,ITA,
217137,Raffaella,Gambadoro,,7/23/1980,ITA,
217138,Laura,Tuzzi,,3/18/1979,ITA,
217139,Valeria,Cecchetti,,8/3/1976,ITA,
217140,Raffaella,Valentino,,2/24/1977,ITA,
217141,Makiko,Inekaku,,,JPN,
217142,Yuko,Miyajima,,4/6/1971,JPN,
217143,Tomoko,Tazawa,,5/2/1971,JPN,
217144,Yumiko,Nakazima,,4/8/1975,JPN,
217145,Masako,Naito,,10/25/1976,JPN,
217146,Akiko,Kazama,,9/28/1974,JPN,
217147,Izumi,Sugimoto,,5/28/1978,JPN,
217148,Yoko,Torii,,5/14/1978,JPN,
217149,Tomoko,Ishida,,3/23/1971,JPN,157
217150,Ai,Haigo,,4/18/1975,JPN,
217151,Mariko,Kaneko,,6/29/1974,JPN,
217152,Tomoko,Sekiguchi,,2/14/1976,JPN,
217153,Yukari,Ochiai,,7/10/1983,JPN,
217154,Saloni,Kantaria,,9/17/1981,KEN,
217155,Jenny,Kuhlin,,8/18/1978,KEN,
217156,Hyun Sook,Park,,4/6/1981,KOR,
217157,Viktoria,Tepluk,,4/9/1982,LAT,
217158,Vlada,Kirilovska,,4/14/1975,LAT,
217159,Natalia,Bogacova,,8/10/1971,LAT,
217160,Manar,Akkar,,3/19/1982,MAR,
217161,Nadia,Bibarss,,6/21/1976,MAR,
217162,Courtney,Roberts,,12/30/1972,USA,
217163,Elke,Juul,,3/13/1973,AUS,
217164,Julie Ann,Baird,,6/18/1975,USA,
217165,Nicole,Elliott,,10/1/1974,USA,
217166,Ashlee,Callahan,,10/5/1980,USA,
217167,Kelly,Rudolph,,11/6/1975,USA,
217168,Alexandra,Ramirez,,2/10/1979,USA,
217169,Mary,Quasney,,9/12/1973,USA,
217170,Lisa,Lillemoe,,2/4/1966,USA,
217171,Monty,Morrison,,5/6/1965,USA,
217172,Edna,Espinosa,,11/4/1972,MEX,
217173,Mari Carmen,Espinosa,,9/18/1962,MEX,
217174,Grace,Summerside,,,AUS,
217175,Barbara,Soares,,1/22/1982,BRA,
217176,Gilda,Robleto,,1/10/1952,MEX,
217177,Elena,Ravnlanska,,,MKD,
217178,Thea,De Weerd,,2/11/1976,NED,
217179,Hilke,Wilt,,6/17/1980,NED,
217180,Katja,Nossik,,,NED,
217181,Josien,Boverhof,,1/2/1978,NED,
217182,Gabriella,Somers,,12/7/1977,BEL,
217183,Annette,Oosters,,6/26/1979,NED,
217184,Kim,Gysbertse,,3/16/1979,NED,
217185,Paola,Gamarra,,11/14/1984,PAR,
217186,Karina,Miguenz,,10/10/1977,PAR,
217187,Josefina,Vega,,11/12/1979,PAR,
217188,Maria Noel,Ruiz,,1/16/1981,PAR,
217189,Paula,Cantarutti,,11/29/1978,ARG,
217190,Julia,Beconi,,2/25/1982,PAR,
217191,Maria Rian,Pila,,11/1/1980,PHI,
217192,Eun Young,Kim,,10/1/1968,KOR,
217193,Karolina,Glowacka,,5/28/1978,POL,
217194,Julia,Kondratovskaia,,3/23/1981,RUS,
217195,Ewelina,Augustyniak,,4/7/1980,POL,
217196,Justyna,Richter,,3/1/1979,POL,
217197,Sabina,Kochan,,8/31/1979,POL,
217198,Urszula,Owsiak,,6/27/1983,POL,
217199,Dina,Jovanovic,,,YUG,
217200,Dagmara,Bednarczyk,,11/24/1981,POL,
217201,Alexandra,Kelly,,9/13/1973,GBR,
217202,Ingrid,Lucak,,11/21/1973,GBR,
217203,Sasha,Mattu,,4/9/1977,CAN,
217204,Robertina,Marcu,,,ROU,
217205,Simona,Petru,,3/7/1974,ROU,
217206,Andreea,Seserman,,1/22/1985,ROU,
217207,Olena,Kuzmyk,,2/10/1979,UKR,
217208,Minette,Weirich,,2/25/1980,RSA,
217209,Nozipho Gloria,Sithole,,9/10/1976,RSA,
217210,Noswazi,Tshabalala,,2/4/1979,RSA,
217211,Lizeth,Fourie,,12/25/1980,RSA,
217212,Mojca,Pavlinic,,8/30/1979,SLO,
217213,Kristina,Curic,,12/8/1979,CRO,
217214,Frederique,Desire,,4/22/1984,FRA,
217215,Vesna,Sevsek,,12/16/1979,SLO,
217216,Constanze,Glockner,,5/14/1983,GER,
217217,Tajana,Mlakar,,11/5/1982,SLO,
217218,Caroline,Skrzypczyk,,3/22/1984,GER,
217219,Alenka,Ovin,,1/10/1976,SLO,
217220,Michelle,Buess,,5/22/1978,SUI,
217221,Nadine,Sanfilippo,,6/22/1982,SUI,
217222,Stephanie,Zenklusen,,5/29/1979,SUI,
217223,Magdalena,Gargulakova,,5/20/1975,SVK,
217224,Lucia,Struharova,,10/7/1982,SVK,
217225,Martina,Miklosava,,1/13/1980,SVK,
217226,Danila,Prevuznakova,,9/24/1979,SVK,
217227,Nadia,Dzuganova,,10/13/1981,SVK,
217228,Simona,Jozova,,8/25/1981,SVK,
217229,Monika,Dybicz,,3/23/1982,SWE,
217230,Cecilia,Helland,,2/19/1983,SWE,
